"id","major_id","year","method","score","note","url","created_at","updated_at"
26,26,2023,"Diem thi THPT",26.60,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.084962","2026-08-11 13:54:02.084962"
27,27,2023,"Diem thi THPT",26.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.086467","2026-08-11 13:54:02.086467"
28,28,2023,"Diem thi THPT",35.35,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.08842","2026-08-11 13:54:02.08842"
29,29,2023,"Diem thi THPT",35.30,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.089767","2026-08-11 13:54:02.089767"
30,30,2023,"Diem thi THPT",27.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.090914","2026-08-11 13:54:02.090914"
31,31,2023,"Diem thi THPT",26.60,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.092111","2026-08-11 13:54:02.092111"
32,32,2023,"Diem thi THPT",26.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.093915","2026-08-11 13:54:02.093915"
33,33,2023,"Diem thi THPT",26.75,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.095839","2026-08-11 13:54:02.095839"
34,34,2023,"Diem thi THPT",26.75,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.097244","2026-08-11 13:54:02.097244"
35,35,2023,"Diem thi THPT",26.40,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.098279","2026-08-11 13:54:02.098279"
