school_code,school_name,address,region,website_url,tuition_range,latitude,longitude,dean_url,source
DVH,Trường Đại Học Văn Hiến,"613 Âu Cơ, Phường Phú Trung, phường Tân Phú, TP.HCM",Thủ Đức,https://vhu.edu.vn/,,10.7841781,106.6412755,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-van-hien-DVH.html,merged
DQT,Trường Đại Học Quang Trung,"327 Đào Tấn, Quy Nhơn Bắc, Gia Lai",Tỉnh Gia Lai,https://qtu.edu.vn/,,13.7989472,109.184919,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quang-trung-DQT.html,merged
HSU,Trường Đại Học Hoa Sen,"08 Nguyễn Văn Tráng, Phường Bến Thành, TP.HCM",Thuận An,https://www.hoasen.edu.vn/,,10.8566802,106.6252467,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hoa-sen-HSU.html,merged
DPT,Trường Đại Học Phan Thiết,"225 Nguyễn Thông, Phường Phú Thủy, Tỉnh Lâm Đồng",Tỉnh Lâm Đồng,upt.edu.vn hoặc ts.upt.edu.vn,,10.9411305,108.1690036,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-phan-thiet-DPT.html,merged
DVP,Trường Đại Học Trưng Vương,"Số 102 Trần Phú, Phường Hà Đông, Hà Nội - CS1: Xã Tam Dương, Tỉnh Phú Thọ",Tỉnh Thanh Hóa,https://tv-uni.edu.vn/,,19.761532,105.782786,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-trung-vuong-DVP.html,merged
YDD,Trường Đại Học Điều Dưỡng Nam Định,"Số 257 Hàn Thuyên, phường Nam Định, tỉnh Ninh Bình",Tỉnh Ninh Bình,http://www.ndun.edu.vn,"Học phí Thí sinh tham khảo mức học phí theo tín chỉ, tính trung bình trong cả khoá học: 540.000 đồng/tín chỉ (áp dụng đối với năm tuyển sinh 2025) Ngành Điều dưỡng: 139 tín chỉ và 08 tín chỉ GDQP-AN, 03 tín chỉ GDTC Ngành Hộ sinh: 139 tín chỉ và 08 tín chỉ GDQP-AN, 03 tín chỉ GDTC Ngành Dinh dưỡng: 135 tín chỉ và 08 tín chỉ GDQP-AN, 03 tín chỉ GDTC",20.4378618,106.1827177,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-dieu-duong-nam-dinh-YDD.html,merged
THU,Trường Đại học Y khoa Tokyo Việt Nam,"SST-01, KĐT Ecopark, xã Phụng Công, tỉnh Hưng Yên, Việt Nam",Tỉnh Hưng Yên,http://tokyo-human.edu.vn/,Sinh viên nhập học năm học 2026 nộp các khoản sau:,20.9643058,105.9336311,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-khoa-tokyo-viet-nam-THU.html,merged
DCD,Trường Đại Học Công Nghệ Đồng Nai,"Đường Nguyễn Khuyến, Khu phố 5, Phường Trảng Dài, Tỉnh Đồng Nai",Thành phố Đồng Nai,https://dntu.edu.vn/,,10.9844801,106.8696454,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dong-nai-DCD.html,merged
EIU,Trường Đại Học Quốc Tế Miền Đông,"81 Nam Kỳ Khởi Nghĩa, phường Bình Dương, TP Hồ Chí Minh",Thủ Dầu Một,www.eiu.edu.vn,"Học phí TT Ngành Học phí/năm (VNĐ) 1 Kinh tế (04 chuyên ngành: Kinh tế học ứng dụng, Kinh tế quốc tế, Phân tích dữ liệu kinh tế, Kinh tế học sức khỏe) 50.000.000 2 Quản trị kinh doanh (08 chuyên ngành: Kế toán, Tài chính, Marketing, Khởi nghiệp, Quản trị nguồn nhân lực, Quản trị chuỗi cung ứng, Quản trị nhà hàng khách sạn, Phân tích kinh doanh) 50.000.000 3 Mạng máy tính và truyền thông dữ liệu 27",11.0521285,106.6661651,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quoc-te-mien-dong-EIU.html,merged
DDV,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,"158A Lê Lợi, P. Hải Châu, TP. Đà Nẵng",Thành phố Đà Nẵng,: https://vnuk.edu.vn/,,16.0709942,108.2200487,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang-DDV.html,merged
TDB,Trường Đại Học Thể Dục Thể Thao Bắc Ninh,"đường Nguyễn Văn Cừ, phường Đồng Nguyên, tỉnh Bắc Ninh",Tỉnh Bắc Ninh,www.upes1.edu.vn,,21.124758,105.9526714,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-the-duc-the-thao-bac-ninh-TDB.html,merged
DHE,Khoa Kỹ thuật và Công nghệ - Đại học Huế,"CS1: 01 Điện Biên Phủ, phường Vĩnh Ninh, Thành phố Huế",,http://huet.hueuni.edu.vn/,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html,merged
DTB,Trường Đại Học Thái Bình,"Số 373, Lý Bôn, phường Trần Lãm, tỉnh Hưng Yên",Tỉnh Hưng Yên,https://tbu.edu.vn/,,20.4722054,106.3188136,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thai-binh-DTB.html,merged
HVD,Học Viện Dân Tộc,"Thôn Chi Đông 2, xã Quang Minh, Thành phố Hà Nội",Thành phố Hà Nội,https://hvdt.edu.vn/,"- Tổng chi phí đào tạo trung bình 01 sinh viên/năm của năm liền trước năm tuyển sinh không quá: 10.000.000 đồng/sinh viên/năm Mức thu học phí năm học 2026 - 2027 (theo Nghị định số 238/2025/NĐ-CP ngày 03/9/2025 của Thủ tướng Chính phủ Quy định về chính sách học phí, miễn, giảm, hỗ trợ học phí, hỗ trợ chi phí học tập và giá dịch vụ trong lĩnh vực giáo dục, đào tạo . | Lộ trình tăng học phí thực hiệ",21.0161557,105.7454681,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-dan-toc-HVD.html,merged
DHT,Trường Đại Học Khoa Học Huế,"77 Nguyễn Huệ, phường Thuận Hóa, thành phố Huế",Phường Thuận Hóa,https://husc.edu.vn/,,16.4597874,107.5926169,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-hue-DHT.html,merged
DTZ,Trường Đại Học Khoa Học Thái Nguyên,Phường Tân Thịnh - Thành phố Thái Nguyên,Tỉnh Thái Nguyên,https://tnus.edu.vn/,,21.5827999,105.7752074,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-thai-nguyen-DTZ.html,merged
